RESPOND_ID,EXAMIN_YM,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,DMSTC_TOUR_TY_VALUE,OVSEA_TOUR_TY_VALUE
53326595,202410,M,60대,경기도,500이상700만원 미만,개별 여행,여행경험없음
53326632,202410,F,40대,경기도,500이상700만원 미만,개별 여행,단체 패키지 여행
53326674,202410,M,50대,대구광역시,모름,여행경험없음,개별 여행
53326770,202410,M,20대,경기도,300이상500만원 미만,개별 여행,여행경험없음
53326935,202410,M,60대,부산광역시,모름,개별 여행,여행경험없음
53326948,202410,M,60대,경기도,700만원 이상,개별 여행,여행경험없음
53327076,202410,F,50대,경상남도,모름,개별 여행,개별 여행
53327091,202410,M,30대,인천광역시,500이상700만원 미만,개별 여행,단체 패키지 여행
53327110,202410,M,40대,대전광역시,300이상500만원 미만,개별 여행,개별 여행
53327136,202410,M,40대,인천광역시,500이상700만원 미만,여행경험없음,개별 여행
53327158,202410,M,30대,경기도,300만원 미만,개별 여행,단체 패키지 여행
53327182,202410,M,60대,경기도,300이상500만원 미만,개별 여행,개별 여행
53327186,202410,M,60대,경상북도,500이상700만원 미만,개별 여행,여행경험없음
53327196,202410,M,50대,인천광역시,500이상700만원 미만,여행경험없음,개별 여행
53327211,202410,M,20대,부산광역시,모름,개별 여행,여행경험없음
53327241,202410,F,30대,경기도,300이상500만원 미만,개별 여행,개별 여행
53327274,202410,M,50대,경상북도,700만원 이상,개별 여행,개별 여행
53327281,202410,F,40대,경기도,700만원 이상,개별 여행,여행경험없음
53327302,202410,M,60대,경기도,700만원 이상,개별 여행,개별 여행
53327318,202410,F,30대,광주광역시,모름,개별 여행,개별 여행
53327331,202410,F,40대,경기도,300만원 미만,개별 여행,여행경험없음
53327355,202410,M,40대,경상남도,700만원 이상,개별 여행,여행경험없음
53327364,202410,M,50대,부산광역시,300이상500만원 미만,여행경험없음,개별 여행
53327404,202410,F,60대,부산광역시,300만원 미만,단체 패키지 여행,여행경험없음
53327525,202410,F,30대,서울특별시,500이상700만원 미만,여행경험없음,개별 여행
53327529,202410,F,30대,부산광역시,300이상500만원 미만,개별 여행,여행경험없음
53327554,202410,F,50대,울산광역시,700만원 이상,개별 여행,단체 패키지 여행
53327555,202410,F,30대,충청남도(세종시 포함),700만원 이상,개별 여행,개별 여행
53327568,202410,M,40대,서울특별시,700만원 이상,개별 여행,개별 여행
53327588,202410,M,50대,서울특별시,700만원 이상,개별 여행,개별 여행
53327629,202410,F,60대,충청남도(세종시 포함),모름,개별 여행,여행경험없음
53327636,202410,M,40대,대전광역시,300이상500만원 미만,개별 여행,여행경험없음
53327638,202410,F,60대,서울특별시,300이상500만원 미만,개별 여행,여행경험없음
53327669,202410,F,50대,광주광역시,700만원 이상,개별 여행,여행경험없음
53327719,202410,M,40대,경기도,700만원 이상,개별 여행,여행경험없음
53327853,202410,M,50대,경상북도,500이상700만원 미만,개별 여행,여행경험없음
53327931,202410,F,30대,경기도,700만원 이상,개별 여행,여행경험없음
53327948,202410,M,50대,전라남도,700만원 이상,개별 여행,여행경험없음
53327952,202410,M,50대,울산광역시,300이상500만원 미만,개별 여행,여행경험없음
53327953,202410,F,60대,서울특별시,500이상700만원 미만,개별 여행,개별 여행
53327986,202410,F,40대,서울특별시,300만원 미만,개별 여행,여행경험없음
53327995,202410,M,50대,서울특별시,500이상700만원 미만,여행경험없음,에어텔 또는 에어카텔 패키지 여행
53328000,202410,F,20대,전라남도,모름,개별 여행,여행경험없음
53328005,202410,M,60대,대전광역시,300만원 미만,개별 여행,여행경험없음
53328041,202410,F,50대,경기도,700만원 이상,개별 여행,여행경험없음
53328071,202410,M,40대,서울특별시,700만원 이상,개별 여행,여행경험없음
53328100,202410,M,40대,부산광역시,500이상700만원 미만,여행경험없음,단체 패키지 여행
53328166,202410,M,40대,부산광역시,500이상700만원 미만,개별 여행,여행경험없음
53328204,202410,F,20대,서울특별시,모름,개별 여행,개별 여행
53328320,202410,M,60대,대구광역시,300이상500만원 미만,여행경험없음,단체 패키지 여행
53328330,202410,M,50대,강원도,300이상500만원 미만,개별 여행,여행경험없음
53328455,202410,F,60대,서울특별시,500이상700만원 미만,여행경험없음,단체 패키지 여행
53328544,202410,F,40대,경상남도,500이상700만원 미만,개별 여행,여행경험없음
53328577,202410,M,30대,경상남도,500이상700만원 미만,개별 여행,개별 여행
53328699,202410,M,50대,대구광역시,700만원 이상,개별 여행,단체 패키지 여행
53328713,202410,M,30대,대구광역시,700만원 이상,개별 여행,개별 여행
53328765,202410,M,60대,충청북도,700만원 이상,개별 여행,개별 여행
53328775,202410,F,30대,광주광역시,모름,여행경험없음,개별 여행
53328833,202410,M,40대,경기도,700만원 이상,여행경험없음,개별 여행
53328898,202410,F,20대,서울특별시,모름,개별 여행,개별 여행
53328926,202410,F,20대,경상북도,500이상700만원 미만,개별 여행,여행경험없음
53328942,202410,F,30대,대전광역시,모름,개별 여행,개별 여행
53329033,202410,M,50대,경상북도,500이상700만원 미만,여행경험없음,단체 패키지 여행
53329037,202410,F,40대,경기도,300이상500만원 미만,개별 여행,여행경험없음
53329044,202410,F,50대,서울특별시,500이상700만원 미만,개별 여행,여행경험없음
53329070,202410,F,40대,서울특별시,300만원 미만,개별 여행,여행경험없음
53329089,202410,M,50대,전라북도,500이상700만원 미만,개별 여행,여행경험없음
53329090,202410,M,30대,경기도,500이상700만원 미만,에어텔 또는 에어카텔 패키지 여행,여행경험없음
53329137,202410,M,50대,서울특별시,500이상700만원 미만,개별 여행,여행경험없음
53329150,202410,M,30대,경기도,700만원 이상,개별 여행,여행경험없음
53329206,202410,M,60대,경기도,300이상500만원 미만,개별 여행,여행경험없음
53329224,202410,M,40대,경상남도,500이상700만원 미만,개별 여행,개별 여행
