RESPOND_ID,EXAMIN_BEGIN_DE,TOUR_TOT_CT_VALUE,TOUR_LDGMNT_CT_VALUE,TOUR_FOOD_CT_VALUE,TOUR_TRNSPORT_CT_VALUE,TOUR_SHOPNG_CT_VALUE,TOUR_ACTVTY_CT_VALUE,TOUR_ETC_CT_VALUE,TOUR_CTPRVN_NM,TOUR_SIGNGU_NM,TOUR_COM_NMPR_NM,TOUR_PD_VALUE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,MRRG_AT_NM,CHLDRN_TY_NM,OCCP_NM,HSHLD_INCOME_DGREE_NM,TOUR_BEGIN_DE_FROM_ERA
53332347,20250707,모름,모름,모름,모름,모름,모름,모름,충청북도,충주시(구 청원군 포함),혼자서,1박 2일,M,50대,기혼,자녀 성인(막내 대학),경영/관리/전문직,500~700만원 미만,20250605
53332425,20250707,10~20만원 미만,1~3만원 미만,1만원 미만,1~3만원 미만,1만원 미만,1~3만원 미만,5~7만원 미만,강원도,화천군,4명,1박 2일,F,40대,기혼,자녀 성장(막내 중고생),자영업,500~700만원 미만,20250527
53332666,20250707,모름,모름,모름,모름,모름,모름,모름,경기도,파주시,2명,6박 7일 이상,F,20대,미혼,미혼,사무/기술직,300만원 미만,20250430
53333056,20250707,20~30만원 미만,10만원 이상,5~7만원 미만,3~5만원 미만,1만원 미만,1~3만원 미만,1만원 미만,강원도,동해시,3명,1박 2일,F,40대,기혼,자녀 유아&성장(막내 입학전~초등생),사무/기술직,모름,20250628
53333059,20250707,10~20만원 미만,3~5만원 미만,5~7만원 미만,1~3만원 미만,1만원 미만,3~5만원 미만,1만원 미만,인천시,모름,4명,1박 2일,M,40대,기혼,자녀 유아&성장(막내 입학전~초등생),판매/서비스직,500~700만원 미만,20250406
53333828,20250707,10~20만원 미만,5~7만원 미만,5~7만원 미만,1만원 미만,1만원 미만,1만원 미만,1만원 미만,강원도,강릉시,혼자서,1박 2일,M,30대,미혼,미혼,자영업,300~500만원 미만,20250627
53333862,20250707,10~20만원 미만,3~5만원 미만,5~7만원 미만,1만원 미만,1~3만원 미만,1만원 미만,1만원 미만,경기도,용인시,2명,1박 2일,M,50대,기혼,자녀 성인(막내 대학),자영업,700만원 이상,20250628
53333916,20250707,10~20만원 미만,5~7만원 미만,1~3만원 미만,3~5만원 미만,1만원 미만,1만원 미만,1만원 미만,경상북도,경주시,3명,3박 4일,M,50대,기혼,자녀 성장(막내 중고생),사무/기술직,500~700만원 미만,20250626
53333967,20250707,10~20만원 미만,1만원 미만,3~5만원 미만,1~3만원 미만,1만원 미만,5~7만원 미만,1만원 미만,서울시,모름,2명,1박 2일,F,40대,기혼,자녀 유아&성장(막내 입학전~초등생),전업주부,700만원 이상,20250605
53334018,20250707,30~40만원 미만,1만원 미만,10만원 이상,10만원 이상,1만원 미만,1만원 미만,1만원 미만,부산시,모름,5명 이상,4박 5일,F,50대,기혼,자녀 성인(막내 대학),전업주부,700만원 이상,20250528
53334072,20250707,20~30만원 미만,5~7만원 미만,5~7만원 미만,10만원 이상,1만원 미만,1만원 미만,1만원 미만,경상북도,경주시/문경시/포항시,3명,2박 3일,M,50대,기타,자녀 성인(막내 대학),기능/숙련/일반작업직,300~500만원 미만,20250516
53334479,20250707,40만원 이상,10만원 이상,10만원 이상,10만원 이상,5~7만원 미만,5~7만원 미만,1만원 미만,제주도,서귀포시(시내동)/제주시(시내동),4명,4박 5일,F,50대,기혼,자녀 성인(막내 대학),사무/기술직,700만원 이상,20250409
53334718,20250707,30~40만원 미만,5~7만원 미만,5~7만원 미만,5~7만원 미만,1만원 미만,10만원 이상,1만원 미만,울산시,모름,혼자서,1박 2일,M,60대 이상,기혼,자녀 성인(막내 대학),자영업,700만원 이상,20250628
53335148,20250707,10~20만원 미만,1~3만원 미만,3~5만원 미만,1~3만원 미만,1만원 미만,1~3만원 미만,1~3만원 미만,경상북도,문경시,5명 이상,2박 3일,F,50대,기혼,자녀 성인(막내 대학),전업주부,모름,20250623
53335436,20250707,10~20만원 미만,1만원 미만,5~7만원 미만,1~3만원 미만,1~3만원 미만,1~3만원 미만,1만원 미만,경기도,양평군,2명,1박 2일,F,60대 이상,기혼,자녀 성인(막내 대학),기능/숙련/일반작업직,모름,20250606
53335576,20250707,모름,모름,모름,모름,모름,모름,모름,경기도,수원시,2명,1박 2일,M,30대,미혼,미혼,사무/기술직,모름,20250607
