RESPOND_ID,EXAMIN_BEGIN_DE_x,TOUR_CTPRVN_NM_x,TOUR_SIGNGU_NM_x,TOUR_BEGIN_DE,TOUR_PD_VALUE_x,TOUR_COM_NMPR_NM_x,COM_ONE_TY,COM_TWO_TY,COM_THREE_TY,COM_FOUR_TY,COM_FIVE_TY,COM_SIX_TY,TOUR_PURPS_NM,SEXDSTN_FLAG_CD_x,AGRDE_FLAG_NM_x,MRRG_AT_NM_x,CHLDRN_TY_NM_x,OCCP_NM_x,HSHLD_INCOME_DGREE_NM_x,EXAMIN_BEGIN_DE_y,TOUR_TOT_CT_VALUE,TOUR_LDGMNT_CT_VALUE,TOUR_FOOD_CT_VALUE,TOUR_TRNSPORT_CT_VALUE,TOUR_SHOPNG_CT_VALUE,TOUR_ACTVTY_CT_VALUE,TOUR_ETC_CT_VALUE,TOUR_CTPRVN_NM_y,TOUR_SIGNGU_NM_y,TOUR_COM_NMPR_NM_y,TOUR_PD_VALUE_y,SEXDSTN_FLAG_CD_y,AGRDE_FLAG_NM_y,MRRG_AT_NM_y,CHLDRN_TY_NM_y,OCCP_NM_y,HSHLD_INCOME_DGREE_NM_y
53364534,20241014,경상북도,경주시,20241008,2박 3일,5명 이상,부모/형제/자녀 등 가족,,,,,,역사-유적 감상 (유적지/ 박물관 등),F,60대 이상,기혼,자녀 성인(막내 대학),기타/무직,300~500만원 미만,20241014,모름,모름,모름,모름,모름,모름,모름,경상북도,경주시,5명 이상,2박 3일,F,60대 이상,기혼,자녀 성인(막내 대학),기타/무직,300~500만원 미만
53364735,20241014,경기도,광명시/파주시,20240814,모름,2명,배우자,,,,,,자연 풍경 감상 (산/ 바다 등),M,60대 이상,기혼,자녀 성인(막내 대학),기능/숙련/일반작업직,500~700만원 미만,20241014,10~20만원 미만,5~7만원 미만,5~7만원 미만,5~7만원 미만,1만원 미만,1만원 미만,1만원 미만,경기도,광명시/파주시,2명,모름,M,60대 이상,기혼,자녀 성인(막내 대학),기능/숙련/일반작업직,500~700만원 미만
53364843,20241014,전라북도,정읍시,20240731,2박 3일,3명,배우자,부모/형제/자녀 등 가족,,,,,식도락 (지역 특색/제철 음식),M,50대,기혼,자녀 유아&성장(막내 입학전~초등생),사무/기술직,700만원 이상,20241014,10만원 미만,1만원 미만,5~7만원 미만,3~5만원 미만,1만원 미만,1만원 미만,1만원 미만,전라북도,정읍시,3명,2박 3일,M,50대,기혼,자녀 유아&성장(막내 입학전~초등생),사무/기술직,700만원 이상
53365053,20241014,강원도,원주시,20240920,1박 2일,4명,친구,,,,,,취미-운동 활동 (등산/ 낚시/ 골프 등),F,50대,기혼,자녀 성인(막내 대학),경영/관리/전문직,700만원 이상,20241014,40만원 이상,3~5만원 미만,7~10만원 미만,5~7만원 미만,7~10만원 미만,10만원 이상,3~5만원 미만,강원도,원주시,4명,1박 2일,F,50대,기혼,자녀 성인(막내 대학),경영/관리/전문직,700만원 이상
53365143,20241014,전라북도,전주시,20240817,1박 2일,2명,연인,,,,,,식도락 (지역 특색/제철 음식),M,30대,미혼,미혼,경영/관리/전문직,700만원 이상,20241014,20~30만원 미만,10만원 이상,5~7만원 미만,5~7만원 미만,1만원 미만,1만원 미만,1만원 미만,전라북도,전주시,2명,1박 2일,M,30대,미혼,미혼,경영/관리/전문직,700만원 이상
53365197,20241014,제주도,애월읍,20240824,3박 4일,4명,배우자,부모/형제/자녀 등 가족,,,,,친지/친구/친척 만나기,M,30대,기혼,자녀 유아&성장(막내 입학전~초등생),기능/숙련/일반작업직,300~500만원 미만,20241014,20~30만원 미만,1만원 미만,10만원 이상,5~7만원 미만,5~7만원 미만,5~7만원 미만,1만원 미만,제주도,애월읍,4명,3박 4일,M,30대,기혼,자녀 유아&성장(막내 입학전~초등생),기능/숙련/일반작업직,300~500만원 미만
53365295,20241014,제주도,서귀포시(시내동)/애월읍/제주시(시내동)/한림읍,20240815,2박 3일,2명,연인,,,,,,식도락 (지역 특색/제철 음식),M,30대,미혼,미혼,사무/기술직,300~500만원 미만,20241014,모름,모름,모름,모름,모름,모름,모름,제주도,서귀포시(시내동)/애월읍/제주시(시내동)/한림읍,2명,2박 3일,M,30대,미혼,미혼,사무/기술직,300~500만원 미만
53365613,20241014,경상북도,포항시,20240708,2박 3일,2명,배우자,,,,,,식도락 (지역 특색/제철 음식),F,40대,기혼,자녀 유아&성장(막내 입학전~초등생),자영업,700만원 이상,20241014,10~20만원 미만,3~5만원 미만,7~10만원 미만,1~3만원 미만,1~3만원 미만,1만원 미만,1~3만원 미만,경상북도,포항시,2명,2박 3일,F,40대,기혼,자녀 유아&성장(막내 입학전~초등생),자영업,700만원 이상
53365757,20241014,경상남도,김해시/밀양시,20240706,1박 2일,5명 이상,배우자,친구,,,,,축제-행사 참여,F,60대 이상,기혼,자녀 독립(막내 결혼),기타/무직,300만원 미만,20241014,10~20만원 미만,1~3만원 미만,3~5만원 미만,5~7만원 미만,1만원 미만,1만원 미만,1만원 미만,경상남도,김해시/밀양시,5명 이상,1박 2일,F,60대 이상,기혼,자녀 독립(막내 결혼),기타/무직,300만원 미만
53366134,20241014,부산시,모름,20240928,1박 2일,2명,배우자,,,,,,휴식,M,30대,기혼,신혼기(자녀 없음),사무/기술직,700만원 이상,20241014,10~20만원 미만,5~7만원 미만,3~5만원 미만,1~3만원 미만,1만원 미만,1~3만원 미만,1만원 미만,부산시,모름,2명,1박 2일,M,30대,기혼,신혼기(자녀 없음),사무/기술직,700만원 이상
53366154,20241014,경기도,남양주시,20240711,1박 2일,2명,연인,,,,,,휴식,F,20대,미혼,미혼,사무/기술직,모름,20241014,30~40만원 미만,10만원 이상,10만원 이상,5~7만원 미만,1만원 미만,1만원 미만,1만원 미만,경기도,남양주시,2명,1박 2일,F,20대,미혼,미혼,사무/기술직,모름
53366515,20241014,대전시,모름,20240820,2박 3일,2명,친구,,,,,,식도락 (지역 특색/제철 음식),F,20대,미혼,미혼,기타/무직,500~700만원 미만,20241014,20~30만원 미만,10만원 이상,5~7만원 미만,5~7만원 미만,1만원 미만,1만원 미만,1만원 미만,대전시,모름,2명,2박 3일,F,20대,미혼,미혼,기타/무직,500~700만원 미만
53366529,20241014,경상남도,통영시/하동군,20240717,3박 4일,혼자서,혼자서,,,,,,자연 풍경 감상 (산/ 바다 등),F,30대,미혼,미혼,사무/기술직,700만원 이상,20241014,30~40만원 미만,10만원 이상,10만원 이상,7~10만원 미만,1만원 미만,3~5만원 미만,1만원 미만,경상남도,통영시/하동군,혼자서,3박 4일,F,30대,미혼,미혼,사무/기술직,700만원 이상
53366537,20241014,전라남도,장성군,20240714,2박 3일,5명 이상,친구,,,,,,자연 풍경 감상 (산/ 바다 등),M,60대 이상,기혼,자녀 성인(막내 대학),기타/무직,700만원 이상,20241014,20~30만원 미만,3~5만원 미만,10만원 이상,3~5만원 미만,1~3만원 미만,1~3만원 미만,5~7만원 미만,전라남도,장성군,5명 이상,2박 3일,M,60대 이상,기혼,자녀 성인(막내 대학),기타/무직,700만원 이상
53366557,20241014,전라북도,남원시,20240907,2박 3일,4명,배우자,부모/형제/자녀 등 가족,,,,,놀이/테마공원-온천 등 즐기기,M,40대,기혼,자녀 유아&성장(막내 입학전~초등생),기능/숙련/일반작업직,700만원 이상,20241014,10~20만원 미만,7~10만원 미만,5~7만원 미만,1~3만원 미만,1만원 미만,1만원 미만,1만원 미만,전라북도,남원시,4명,2박 3일,M,40대,기혼,자녀 유아&성장(막내 입학전~초등생),기능/숙련/일반작업직,700만원 이상
