RESPOND_ID,EXAMIN_YM,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,DMSTC_TOUR_TY_VALUE,OVSEA_TOUR_TY_VALUE,DMSTC_STYLE_GROUP,OVSEA_STYLE_GROUP,HAS_DMSTC_EXP,HAS_OVSEA_EXP,TRAVEL_SCOPE,EXAMIN_QUARTER
53342138,202506,M,60대,서울특별시,300이상500만원 미만,개별 여행,단체 패키지 여행,개별여행,패키지여행,True,True,국내외 모두,2
53342203,202506,M,60대,전라남도,700만원 이상,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53342206,202506,M,50대,충청남도(세종시 포함),모름,여행경험없음,단체 패키지 여행,해당사항 없음,패키지여행,False,True,해외만,2
53342211,202506,M,40대,서울특별시,500이상700만원 미만,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53342236,202506,M,50대,경기도,700만원 이상,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53342336,202506,M,20대,광주광역시,모름,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53342343,202506,M,30대,충청남도(세종시 포함),300이상500만원 미만,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53342377,202506,M,30대,충청남도(세종시 포함),300이상500만원 미만,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53342403,202506,M,40대,서울특별시,모름,개별 여행,개별 여행,개별여행,개별여행,True,True,국내외 모두,2
53342411,202506,F,20대,경상남도,모름,개별 여행,개별 여행,개별여행,개별여행,True,True,국내외 모두,2
53342467,202506,F,30대,경기도,모름,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53342476,202506,M,30대,경기도,300이상500만원 미만,개별 여행,개별 여행,개별여행,개별여행,True,True,국내외 모두,2
53342481,202506,M,60대,경상남도,300이상500만원 미만,개별 여행,단체 패키지 여행,개별여행,패키지여행,True,True,국내외 모두,2
53342506,202506,F,50대,광주광역시,700만원 이상,개별 여행,단체 패키지 여행,개별여행,패키지여행,True,True,국내외 모두,2
53342545,202506,M,40대,경기도,300이상500만원 미만,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53342561,202506,F,50대,경기도,500이상700만원 미만,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53342593,202506,F,60대,경상남도,모름,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53342619,202506,F,20대,강원도,모름,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53342661,202506,F,40대,전라북도,500이상700만원 미만,개별 여행,개별 여행,개별여행,개별여행,True,True,국내외 모두,2
53342743,202506,F,60대,충청북도,모름,개별 여행,단체 패키지 여행,개별여행,패키지여행,True,True,국내외 모두,2
53342773,202506,M,30대,경기도,500이상700만원 미만,개별 여행,개별 여행,개별여행,개별여행,True,True,국내외 모두,2
53342783,202506,F,40대,인천광역시,모름,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53342804,202506,F,40대,충청북도,모름,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53342827,202506,M,50대,부산광역시,500이상700만원 미만,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53342829,202506,F,50대,경상북도,500이상700만원 미만,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53342840,202506,F,50대,충청남도(세종시 포함),500이상700만원 미만,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53342858,202506,F,40대,충청북도,모름,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53342877,202506,M,50대,대전광역시,500이상700만원 미만,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53342879,202506,F,40대,서울특별시,700만원 이상,여행경험없음,개별 여행,해당사항 없음,개별여행,False,True,해외만,2
53342908,202506,F,60대,경기도,700만원 이상,개별 여행,단체 패키지 여행,개별여행,패키지여행,True,True,국내외 모두,2
53342919,202506,F,50대,충청남도(세종시 포함),500이상700만원 미만,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53342965,202506,F,20대,경기도,300이상500만원 미만,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53342976,202506,M,30대,경상북도,모름,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53343099,202506,M,50대,서울특별시,300만원 미만,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53343109,202506,M,30대,경기도,500이상700만원 미만,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53343133,202506,F,50대,경상남도,500이상700만원 미만,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
