RESPOND_ID,EXAMIN_BEGIN_DE,TOUR_CTPRVN_NM,TOUR_BEGIN_DE,TOUR_PD_VALUE,TOUR_COM_NMPR_NM,COM_ONE_TY,TOUR_PURPS_NM,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,MRRG_AT_NM,CHLDRN_TY_NM,OCCP_NM,TOUR_TOT_CT_VALUE,TOUR_LDGMNT_CT_VALUE,TOUR_FOOD_CT_VALUE,TOUR_TRNSPORT_CT_VALUE,TOUR_SHOPNG_CT_VALUE,TOUR_ACTVTY_CT_VALUE,TOUR_ETC_CT_VALUE,TRIP_DAYS,TOTAL_EXP_MID_MANWON,TRAVEL_STYLE_GROUP,TRAVEL_MONTH,IS_PEAK_SEASON
66309,20250825,경상남도,20250817,1박 2일,5명 이상,부모/형제/자녀 등 가족,친지/친구/친척 만나기,F,60대 이상,기혼,자녀 성인(막내 대학),기능/숙련/일반작업직,10~20만원 미만,3~5만원 미만,3~5만원 미만,3~5만원 미만,1만원 미만,1만원 미만,1만원 미만,2.0,15,단체 동반,8,True
66504,20251020,경상남도,20251004,2박 3일,4명,배우자,자연 풍경 감상 (산/ 바다 등),M,50대,기혼,자녀 성인(막내 대학),사무/기술직,10~20만원 미만,3~5만원 미만,3~5만원 미만,1~3만원 미만,1~3만원 미만,1~3만원 미만,1~3만원 미만,3.0,15,단체 동반,10,False
68093,20250721,강원도,20250618,3박 4일,4명,부모/형제/자녀 등 가족,자연 풍경 감상 (산/ 바다 등),M,60대 이상,기혼,자녀 독립(막내 결혼),경영/관리/전문직,10~20만원 미만,5~7만원 미만,7~10만원 미만,1~3만원 미만,1만원 미만,1만원 미만,1만원 미만,4.0,15,단체 동반,6,True
69800,20250512,강원도,20250503,2박 3일,2명,배우자,자연 풍경 감상 (산/ 바다 등),F,60대 이상,기혼,자녀 독립(막내 결혼),기타/무직,10~20만원 미만,1만원 미만,7~10만원 미만,7~10만원 미만,1만원 미만,1만원 미만,1만원 미만,3.0,15,소규모 동반,5,True
69842,20250707,강원도,20250422,2박 3일,4명,친구,취미-운동 활동 (등산/ 낚시/ 골프 등),M,60대 이상,기혼,자녀 독립(막내 결혼),자영업,30~40만원 미만,10만원 이상,10만원 이상,5~7만원 미만,1만원 미만,1~3만원 미만,3~5만원 미만,3.0,35,단체 동반,4,False
70004,20250505,서울시,20250215,1박 2일,2명,부모/형제/자녀 등 가족,도시 경관 감상 (건축물/ 거리 등),F,60대 이상,기혼,자녀 성인(막내 대학),사무/기술직,10~20만원 미만,3~5만원 미만,1~3만원 미만,1~3만원 미만,1~3만원 미만,1~3만원 미만,1만원 미만,2.0,15,소규모 동반,2,False
70004,20251027,부산시,20250906,1박 2일,3명,부모/형제/자녀 등 가족,역사-유적 감상 (유적지/ 박물관 등),F,60대 이상,기혼,자녀 성인(막내 대학),사무/기술직,10만원 미만,1만원 미만,3~5만원 미만,3~5만원 미만,1만원 미만,1만원 미만,1만원 미만,2.0,5,소규모 동반,9,False
70732,20250505,제주도,20250415,1박 2일,혼자서,혼자서,휴식,F,60대 이상,기혼,자녀 성인(막내 대학),경영/관리/전문직,40만원 이상,10만원 이상,10만원 이상,7~10만원 미만,10만원 이상,10만원 이상,1만원 미만,2.0,45,홀로여행,4,False
78802,20250324,경기도,20250214,1박 2일,2명,배우자,휴식,F,60대 이상,기혼,자녀 성장(막내 중고생),전업주부,10~20만원 미만,1만원 미만,5~7만원 미만,1~3만원 미만,3~5만원 미만,1만원 미만,1만원 미만,2.0,15,소규모 동반,2,False
80125,20250721,경상북도,20250621,1박 2일,4명,친구,자연 풍경 감상 (산/ 바다 등),F,60대 이상,기혼,자녀 독립(막내 결혼),전업주부,10~20만원 미만,5~7만원 미만,1~3만원 미만,1~3만원 미만,1~3만원 미만,1만원 미만,1만원 미만,2.0,15,단체 동반,6,True
80125,20251124,경상북도,20251025,1박 2일,4명,친구,식도락 (지역 특색/제철 음식),F,60대 이상,기혼,자녀 독립(막내 결혼),기타/무직,10~20만원 미만,3~5만원 미만,5~7만원 미만,1~3만원 미만,1만원 미만,1만원 미만,1만원 미만,2.0,15,단체 동반,10,False
90116,20250519,부산시,20250201,3박 4일,2명,배우자,휴식,M,30대,기혼,자녀 유아&성장(막내 입학전~초등생),판매/서비스직,10~20만원 미만,1만원 미만,5~7만원 미만,1만원 미만,5~7만원 미만,5~7만원 미만,1만원 미만,4.0,15,소규모 동반,2,False
90250,20251229,충청남도,20251128,2박 3일,5명 이상,배우자,자연 풍경 감상 (산/ 바다 등),M,30대,기혼,자녀 유아&성장(막내 입학전~초등생),사무/기술직,10만원 미만,1~3만원 미만,3~5만원 미만,1~3만원 미만,1만원 미만,1~3만원 미만,1만원 미만,3.0,5,단체 동반,11,False
92407,20250818,전라남도,20250816,1박 2일,4명,배우자,놀이/테마공원-온천 등 즐기기,F,30대,기혼,자녀 유아&성장(막내 입학전~초등생),전업주부,10만원 미만,3~5만원 미만,1~3만원 미만,1만원 미만,1만원 미만,1~3만원 미만,1만원 미만,2.0,5,단체 동반,8,True
93276,20250602,전라남도,20250517,1박 2일,4명,배우자,자연 풍경 감상 (산/ 바다 등),M,30대,기혼,자녀 유아&성장(막내 입학전~초등생),사무/기술직,10~20만원 미만,3~5만원 미만,3~5만원 미만,1~3만원 미만,1~3만원 미만,1만원 미만,1~3만원 미만,2.0,15,단체 동반,5,True
94487,20250428,서울시,20250315,1박 2일,2명,연인,문화-예술 즐기기 (미술관/ 공연 등),M,30대,미혼,미혼,사무/기술직,20~30만원 미만,10만원 이상,3~5만원 미만,7~10만원 미만,1~3만원 미만,1~3만원 미만,1만원 미만,2.0,25,소규모 동반,3,False
94696,20250721,강원도,20250502,2박 3일,5명 이상,부모/형제/자녀 등 가족,놀이/테마공원-온천 등 즐기기,F,60대 이상,기혼,자녀 성인(막내 대학),사무/기술직,20~30만원 미만,5~7만원 미만,5~7만원 미만,5~7만원 미만,1~3만원 미만,3~5만원 미만,1만원 미만,3.0,25,단체 동반,5,True
