RESPOND_ID,EXAMIN_YM,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,DMSTC_TOUR_TY_VALUE,OVSEA_TOUR_TY_VALUE,HAS_DMSTC_EXP,HAS_OVSEA_EXP,TRAVEL_STYLE_SCOPE
53322901,202506,F,60대,서울특별시,700만원 이상,여행경험없음,개별 여행,False,True,해외만
53322935,202506,F,60대,서울특별시,500이상700만원 미만,개별 여행,여행경험없음,True,False,국내만
53322943,202506,M,50대,서울특별시,500이상700만원 미만,개별 여행,여행경험없음,True,False,국내만
53322944,202506,F,60대,서울특별시,500이상700만원 미만,단체 패키지 여행,여행경험없음,True,False,국내만
53322949,202506,M,50대,서울특별시,모름,여행경험없음,개별 여행,False,True,해외만
53322968,202506,M,40대,서울특별시,500이상700만원 미만,개별 여행,개별 여행,True,True,국내+해외
53322988,202506,M,40대,서울특별시,500이상700만원 미만,개별 여행,단체 패키지 여행,True,True,국내+해외
53323001,202506,F,60대,서울특별시,모름,개별 여행,여행경험없음,True,False,국내만
53323022,202506,M,60대,서울특별시,300이상500만원 미만,단체 패키지 여행,여행경험없음,True,False,국내만
53323080,202506,F,50대,서울특별시,700만원 이상,개별 여행,개별 여행,True,True,국내+해외
53323090,202506,F,60대,서울특별시,700만원 이상,여행경험없음,단체 패키지 여행,False,True,해외만
53323091,202506,F,50대,서울특별시,300이상500만원 미만,개별 여행,여행경험없음,True,False,국내만
53323194,202506,F,30대,서울특별시,300만원 미만,개별 여행,개별 여행,True,True,국내+해외
53323220,202506,M,50대,서울특별시,500이상700만원 미만,여행경험없음,개별 여행,False,True,해외만
53323289,202506,M,60대,서울특별시,모름,개별 여행,여행경험없음,True,False,국내만
53323365,202506,F,20대,서울특별시,모름,개별 여행,개별 여행,True,True,국내+해외
53323411,202506,F,50대,서울특별시,700만원 이상,개별 여행,여행경험없음,True,False,국내만
53323421,202506,M,20대,서울특별시,500이상700만원 미만,단체 패키지 여행,여행경험없음,True,False,국내만
53323517,202506,F,40대,서울특별시,700만원 이상,개별 여행,개별 여행,True,True,국내+해외
53323569,202506,F,20대,서울특별시,500이상700만원 미만,개별 여행,개별 여행,True,True,국내+해외
53323603,202506,M,40대,서울특별시,모름,개별 여행,여행경험없음,True,False,국내만
53323669,202506,F,20대,서울특별시,모름,개별 여행,개별 여행,True,True,국내+해외
53323690,202506,M,40대,서울특별시,500이상700만원 미만,개별 여행,여행경험없음,True,False,국내만
53323720,202506,F,50대,서울특별시,700만원 이상,개별 여행,개별 여행,True,True,국내+해외
53323746,202506,F,60대,서울특별시,모름,개별 여행,여행경험없음,True,False,국내만
53323752,202506,F,20대,서울특별시,모름,개별 여행,여행경험없음,True,False,국내만
53323769,202506,M,50대,서울특별시,500이상700만원 미만,단체 패키지 여행,개별 여행,True,True,국내+해외
53323787,202506,M,40대,서울특별시,300이상500만원 미만,개별 여행,개별 여행,True,True,국내+해외
53323871,202506,M,50대,서울특별시,500이상700만원 미만,개별 여행,개별 여행,True,True,국내+해외
53323882,202506,M,30대,서울특별시,모름,개별 여행,여행경험없음,True,False,국내만
53323912,202506,F,60대,서울특별시,300이상500만원 미만,개별 여행,단체 패키지 여행,True,True,국내+해외
53323938,202506,M,60대,서울특별시,300이상500만원 미만,개별 여행,단체 패키지 여행,True,True,국내+해외
53323990,202506,M,60대,서울특별시,700만원 이상,개별 여행,여행경험없음,True,False,국내만
53324031,202506,F,40대,서울특별시,700만원 이상,개별 여행,여행경험없음,True,False,국내만
53324067,202506,M,60대,서울특별시,700만원 이상,개별 여행,단체 패키지 여행,True,True,국내+해외
53324073,202506,F,50대,서울특별시,700만원 이상,여행경험없음,개별 여행,False,True,해외만
53324145,202506,F,50대,서울특별시,300이상500만원 미만,개별 여행,여행경험없음,True,False,국내만
53324171,202506,M,50대,서울특별시,700만원 이상,개별 여행,여행경험없음,True,False,국내만
53324202,202506,M,60대,서울특별시,700만원 이상,개별 여행,개별 여행,True,True,국내+해외
53324231,202506,F,60대,서울특별시,300이상500만원 미만,여행경험없음,개별 여행,False,True,해외만
53324266,202506,F,30대,서울특별시,500이상700만원 미만,여행경험없음,개별 여행,False,True,해외만
53324297,202506,F,60대,서울특별시,300이상500만원 미만,개별 여행,단체 패키지 여행,True,True,국내+해외
53324314,202506,M,50대,서울특별시,300이상500만원 미만,개별 여행,여행경험없음,True,False,국내만
53324384,202506,M,30대,서울특별시,500이상700만원 미만,여행경험없음,개별 여행,False,True,해외만
53324392,202506,M,50대,서울특별시,700만원 이상,여행경험없음,개별 여행,False,True,해외만
53324408,202506,M,40대,서울특별시,500이상700만원 미만,개별 여행,여행경험없음,True,False,국내만
53324434,202506,F,30대,경기도,500이상700만원 미만,여행경험없음,개별 여행,False,True,해외만
53324446,202506,M,30대,서울특별시,300이상500만원 미만,여행경험없음,개별 여행,False,True,해외만
53324543,202506,F,30대,경기도,500이상700만원 미만,개별 여행,여행경험없음,True,False,국내만
53324581,202506,M,40대,서울특별시,700만원 이상,개별 여행,개별 여행,True,True,국내+해외
53324593,202506,M,50대,서울특별시,700만원 이상,여행경험없음,개별 여행,False,True,해외만
53324602,202506,M,60대,서울특별시,700만원 이상,개별 여행,여행경험없음,True,False,국내만
53324641,202506,F,60대,서울특별시,700만원 이상,여행경험없음,단체 패키지 여행,False,True,해외만
53324642,202506,M,60대,서울특별시,300이상500만원 미만,개별 여행,여행경험없음,True,False,국내만
53324693,202506,F,40대,서울특별시,700만원 이상,여행경험없음,개별 여행,False,True,해외만
53324700,202506,F,60대,서울특별시,500이상700만원 미만,개별 여행,개별 여행,True,True,국내+해외
53324758,202506,M,60대,서울특별시,500이상700만원 미만,개별 여행,여행경험없음,True,False,국내만
53324810,202506,F,60대,서울특별시,300만원 미만,개별 여행,개별 여행,True,True,국내+해외
53324825,202506,F,30대,서울특별시,500이상700만원 미만,개별 여행,여행경험없음,True,False,국내만
53324863,202506,F,20대,경기도,모름,개별 여행,개별 여행,True,True,국내+해외
53324873,202506,M,60대,서울특별시,300이상500만원 미만,개별 여행,여행경험없음,True,False,국내만
53324905,202506,F,60대,서울특별시,300만원 미만,여행경험없음,단체 패키지 여행,False,True,해외만
