RESPOND_ID,EXAMIN_BEGIN_DE,TOUR_CTPRVN_NM,TOUR_SIGNGU_NM,TOUR_BEGIN_DE,TOUR_PD_VALUE,TOUR_COM_NMPR_NM,COM_ONE_TY,TOUR_PURPS_NM,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,MRRG_AT_NM,CHLDRN_TY_NM,OCCP_NM,HSHLD_INCOME_DGREE_NM,TOUR_TOT_CT_VALUE,TOUR_LDGMNT_CT_VALUE,TOUR_FOOD_CT_VALUE,TOUR_TRNSPORT_CT_VALUE,TOUR_SHOPNG_CT_VALUE,TOUR_ACTVTY_CT_VALUE,TOUR_ETC_CT_VALUE,TOUR_TOT_CT_VALUE_NUM,TOUR_LDGMNT_CT_VALUE_NUM,TOUR_FOOD_CT_VALUE_NUM,TOUR_TRNSPORT_CT_VALUE_NUM,TOUR_SHOPNG_CT_VALUE_NUM,TOUR_ACTVTY_CT_VALUE_NUM,TOUR_ETC_CT_VALUE_NUM,TOUR_PD_VALUE_NUM,TOUR_COM_NMPR_NM_NUM,TRAVEL_MONTH,IS_PEAK_SEASON,TOTAL_EXP_ESTIMATED,TRAVEL_STYLE_GROUP
419785,20250728,충청북도,충주시(구 청원군 포함),20250606,2박 3일,3명,부모/형제/자녀 등 가족,휴식,F,60대 이상,기혼,자녀 성인(막내 대학),사무/기술직,700만원 이상,20~30만원 미만,1만원 미만,10만원 이상,10만원 이상,1만원 미만,1만원 미만,1만원 미만,25.0,0.5,11.5,11.5,0.5,0.5,0.5,3.0,3.0,6,True,25.0,소규모동반
419785,20251020,충청북도,충주시(구 청원군 포함),20251003,1박 2일,3명,부모/형제/자녀 등 가족,친지/친구/친척 만나기,F,60대 이상,기혼,자녀 성인(막내 대학),사무/기술직,700만원 이상,10~20만원 미만,1만원 미만,5~7만원 미만,5~7만원 미만,5~7만원 미만,1만원 미만,1만원 미만,15.0,0.5,6.0,6.0,6.0,0.5,0.5,2.0,3.0,10,False,19.5,소규모동반
419901,20250602,전라남도,여수시,20250503,1박 2일,2명,연인,축제-행사 참여,F,40대,기혼,자녀 성장(막내 중고생),사무/기술직,700만원 이상,20~30만원 미만,5~7만원 미만,5~7만원 미만,5~7만원 미만,1~3만원 미만,1~3만원 미만,1~3만원 미만,25.0,6.0,6.0,6.0,2.0,2.0,2.0,2.0,2.0,5,True,24.0,소규모동반
419933,20250929,부산시,모름,20250913,1박 2일,2명,배우자,친지/친구/친척 만나기,M,60대 이상,기혼,자녀 성인(막내 대학),판매/서비스직,모름,모름,모름,모름,모름,모름,모름,모름,,,,,,,,2.0,2.0,9,True,0.0,소규모동반
420159,20250324,경상북도,안동시/예천군,20250217,1박 2일,4명,부모/형제/자녀 등 가족,자연 풍경 감상 (산/ 바다 등),F,60대 이상,기타,자녀 성인(막내 대학),자영업,700만원 이상,20~30만원 미만,5~7만원 미만,10만원 이상,1~3만원 미만,1~3만원 미만,1~3만원 미만,1만원 미만,25.0,6.0,11.5,2.0,2.0,2.0,0.5,2.0,4.0,2,False,24.0,단체동반
420159,20250602,경상북도,안동시/예천군,20250519,1박 2일,4명,부모/형제/자녀 등 가족,자연 풍경 감상 (산/ 바다 등),F,60대 이상,기타,자녀 독립(막내 결혼),자영업,700만원 이상,10~20만원 미만,5~7만원 미만,5~7만원 미만,1~3만원 미만,1~3만원 미만,1~3만원 미만,1만원 미만,15.0,6.0,6.0,2.0,2.0,2.0,0.5,2.0,4.0,5,True,18.5,단체동반
420159,20250922,충청북도,단양군/제천시,20250616,2박 3일,4명,부모/형제/자녀 등 가족,자연 풍경 감상 (산/ 바다 등),F,60대 이상,기타,자녀 독립(막내 결혼),자영업,700만원 이상,20~30만원 미만,5~7만원 미만,7~10만원 미만,1~3만원 미만,5~7만원 미만,5~7만원 미만,1~3만원 미만,25.0,6.0,8.5,2.0,6.0,6.0,2.0,3.0,4.0,6,True,30.5,단체동반
420159,20251222,강원도,강릉시/동해시,20251117,2박 3일,4명,부모/형제/자녀 등 가족,자연 풍경 감상 (산/ 바다 등),F,60대 이상,기타,자녀 독립(막내 결혼),자영업,700만원 이상,30~40만원 미만,10만원 이상,10만원 이상,3~5만원 미만,1~3만원 미만,5~7만원 미만,1만원 미만,35.0,11.5,11.5,4.0,2.0,6.0,0.5,3.0,4.0,11,False,35.5,단체동반
420288,20250526,전라북도,군산시,20250222,1박 2일,3명,부모/형제/자녀 등 가족,문화-예술 즐기기 (미술관/ 공연 등),F,20대,미혼,미혼,사무/기술직,모름,모름,모름,모름,모름,모름,모름,모름,,,,,,,,2.0,3.0,2,False,0.0,소규모동반
420557,20250421,경상북도,경주시,20250413,2박 3일,5명 이상,부모/형제/자녀 등 가족,도시 경관 감상 (건축물/ 거리 등),F,60대 이상,기혼,자녀 성인(막내 대학),전업주부,모름,20~30만원 미만,5~7만원 미만,5~7만원 미만,7~10만원 미만,1만원 미만,1~3만원 미만,1만원 미만,25.0,6.0,6.0,8.5,0.5,2.0,0.5,3.0,5.0,4,False,23.5,단체동반
420557,20251124,부산시,모름,20251024,3박 4일,4명,친구,친지/친구/친척 만나기,F,60대 이상,기혼,자녀 성인(막내 대학),기타/무직,700만원 이상,20~30만원 미만,1만원 미만,7~10만원 미만,10만원 이상,1만원 미만,1만원 미만,1만원 미만,25.0,0.5,8.5,11.5,0.5,0.5,0.5,4.0,4.0,10,False,22.0,단체동반
420767,20251229,강원도,강릉시,20251224,1박 2일,혼자서,혼자서,식도락 (지역 특색/제철 음식),M,30대,미혼,미혼,사무/기술직,500~700만원 미만,10~20만원 미만,1~3만원 미만,1~3만원 미만,1~3만원 미만,1~3만원 미만,1~3만원 미만,1만원 미만,15.0,2.0,2.0,2.0,2.0,2.0,0.5,2.0,1.0,12,False,10.5,혼자여행
420999,20251027,서울시,모름,20250927,1박 2일,혼자서,혼자서,도시 경관 감상 (건축물/ 거리 등),F,20대,미혼,미혼,사무/기술직,모름,모름,모름,모름,모름,모름,모름,모름,,,,,,,,2.0,1.0,9,True,0.0,혼자여행
421003,20250512,서울시,모름,20250413,6박 7일 이상,3명,친구,축제-행사 참여,M,30대,미혼,미혼,사무/기술직,모름,40만원 이상,10만원 이상,10만원 이상,1만원 미만,1만원 미만,1만원 미만,1만원 미만,45.0,11.5,11.5,0.5,0.5,0.5,0.5,7.0,3.0,4,False,25.0,소규모동반
421044,20250728,경상남도,고성군,20250603,3박 4일,2명,연인,놀이/테마공원-온천 등 즐기기,F,20대,기혼,자녀 독립(막내 결혼),사무/기술직,300~500만원 미만,모름,모름,모름,모름,모름,모름,모름,,,,,,,,4.0,2.0,6,True,0.0,소규모동반
421047,20250929,경상남도,거창군,20250927,1박 2일,2명,부모/형제/자녀 등 가족,자연 풍경 감상 (산/ 바다 등),F,30대,기혼,자녀 유아&성장(막내 입학전~초등생),사무/기술직,300~500만원 미만,10만원 미만,3~5만원 미만,1~3만원 미만,1~3만원 미만,1만원 미만,1만원 미만,1만원 미만,5.0,4.0,2.0,2.0,0.5,0.5,0.5,2.0,2.0,9,True,9.5,소규모동반
421092,20250609,서울시,모름,20250329,2박 3일,3명,친구,친지/친구/친척 만나기,M,20대,미혼,미혼,사무/기술직,700만원 이상,30~40만원 미만,1만원 미만,10만원 이상,7~10만원 미만,10만원 이상,1~3만원 미만,1만원 미만,35.0,0.5,11.5,8.5,11.5,2.0,0.5,3.0,3.0,3,False,34.5,소규모동반
421092,20250721,부산시,모름,20250619,3박 4일,2명,연인,놀이/테마공원-온천 등 즐기기,M,20대,미혼,미혼,사무/기술직,700만원 이상,40만원 이상,10만원 이상,10만원 이상,5~7만원 미만,5~7만원 미만,1만원 미만,1만원 미만,45.0,11.5,11.5,6.0,6.0,0.5,0.5,4.0,2.0,6,True,36.0,소규모동반
421111,20260105,경상북도,울릉군,20251208,1박 2일,3명,직장동료,친지/친구/친척 만나기,M,60대 이상,기혼,자녀 독립(막내 결혼),사무/기술직,700만원 이상,10~20만원 미만,3~5만원 미만,5~7만원 미만,5~7만원 미만,1만원 미만,1만원 미만,1만원 미만,15.0,4.0,6.0,6.0,0.5,0.5,0.5,2.0,3.0,12,False,17.5,소규모동반
421122,20251013,강원도,고성군,20250901,2박 3일,4명,부모/형제/자녀 등 가족,도시 경관 감상 (건축물/ 거리 등),M,30대,기혼,자녀 유아&성장(막내 입학전~초등생),사무/기술직,500~700만원 미만,40만원 이상,7~10만원 미만,5~7만원 미만,7~10만원 미만,7~10만원 미만,7~10만원 미만,7~10만원 미만,45.0,8.5,6.0,8.5,8.5,8.5,8.5,3.0,4.0,9,True,48.5,단체동반
421251,20250310,경상북도,김천시,20250303,1박 2일,혼자서,혼자서,쇼핑,M,20대,미혼,미혼,대학/대학원생,모름,모름,모름,모름,모름,모름,모름,모름,,,,,,,,2.0,1.0,3,False,0.0,혼자여행
421282,20250512,경기도,김포시,20250205,3박 4일,4명,부모/형제/자녀 등 가족,놀이/테마공원-온천 등 즐기기,M,20대,미혼,미혼,대학/대학원생,300만원 미만,10만원 미만,1~3만원 미만,1~3만원 미만,1~3만원 미만,1~3만원 미만,1~3만원 미만,1만원 미만,5.0,2.0,2.0,2.0,2.0,2.0,0.5,4.0,4.0,2,False,10.5,단체동반
421282,20250714,광주시,모름,20250624,3박 4일,4명,부모/형제/자녀 등 가족,도시 경관 감상 (건축물/ 거리 등),M,20대,미혼,미혼,대학/대학원생,모름,10~20만원 미만,1~3만원 미만,1~3만원 미만,1~3만원 미만,1~3만원 미만,3~5만원 미만,1~3만원 미만,15.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,4.0,6,True,14.0,단체동반
421289,20250721,전라남도,구체적인 지역 모름,20250602,4박 5일,2명,친구,쇼핑,M,30대,미혼,미혼,판매/서비스직,모름,모름,모름,모름,모름,모름,모름,모름,,,,,,,,5.0,2.0,6,True,0.0,소규모동반
421334,20250929,부산시,모름,20250909,4박 5일,3명,부모/형제/자녀 등 가족,자연 풍경 감상 (산/ 바다 등),F,20대,미혼,미혼,기능/숙련/일반작업직,모름,40만원 이상,10만원 이상,10만원 이상,10만원 이상,1만원 미만,5~7만원 미만,1만원 미만,45.0,11.5,11.5,11.5,0.5,6.0,0.5,5.0,3.0,9,True,41.5,소규모동반
421334,20251222,경기도,동두천시,20251110,6박 7일 이상,혼자서,혼자서,놀이/테마공원-온천 등 즐기기,F,20대,미혼,미혼,사무/기술직,모름,30~40만원 미만,10만원 이상,7~10만원 미만,5~7만원 미만,5~7만원 미만,1~3만원 미만,1~3만원 미만,35.0,11.5,8.5,6.0,6.0,2.0,2.0,7.0,1.0,11,False,36.0,혼자여행
421387,20250519,경상북도,문경시/상주시,20250407,3박 4일,2명,배우자,자연 풍경 감상 (산/ 바다 등),M,60대 이상,기혼,자녀 독립(막내 결혼),경영/관리/전문직,500~700만원 미만,10~20만원 미만,7~10만원 미만,5~7만원 미만,1~3만원 미만,1만원 미만,1~3만원 미만,3~5만원 미만,15.0,8.5,6.0,2.0,0.5,2.0,4.0,4.0,2.0,4,False,23.0,소규모동반
421488,20250512,대전시,모름,20250208,2박 3일,2명,연인,휴식,F,20대,미혼,미혼,기타/무직,모름,모름,모름,모름,모름,모름,모름,모름,,,,,,,,3.0,2.0,2,False,0.0,소규모동반
421488,20250825,강원도,속초시,20250510,6박 7일 이상,2명,연인,취미-운동 활동 (등산/ 낚시/ 골프 등),F,20대,미혼,미혼,기능/숙련/일반작업직,모름,30~40만원 미만,10만원 이상,1만원 미만,10만원 이상,10만원 이상,1만원 미만,1만원 미만,35.0,11.5,0.5,11.5,11.5,0.5,0.5,7.0,2.0,5,True,36.0,소규모동반
421502,20250428,부산시,모름,20250424,1박 2일,2명,배우자,쇼핑,M,20대,미혼,미혼,사무/기술직,300만원 미만,10~20만원 미만,1만원 미만,5~7만원 미만,1~3만원 미만,1~3만원 미만,1~3만원 미만,1~3만원 미만,15.0,0.5,6.0,2.0,2.0,2.0,2.0,2.0,2.0,4,False,14.5,소규모동반
421518,20250623,경기도,화성시,20250503,2박 3일,4명,부모/형제/자녀 등 가족,축제-행사 참여,M,20대,미혼,미혼,대학/대학원생,700만원 이상,10~20만원 미만,1~3만원 미만,3~5만원 미만,1~3만원 미만,1~3만원 미만,1~3만원 미만,1~3만원 미만,15.0,2.0,4.0,2.0,2.0,2.0,2.0,3.0,4.0,5,True,14.0,단체동반
421951,20250929,경기도,고양시,20250823,1박 2일,3명,배우자,휴식,M,30대,기혼,자녀 유아&성장(막내 입학전~초등생),자영업,모름,모름,모름,모름,모름,모름,모름,모름,,,,,,,,2.0,3.0,8,True,0.0,소규모동반
421992,20251124,경상북도,경주시,20250915,3박 4일,2명,연인,축제-행사 참여,M,30대,미혼,미혼,사무/기술직,500~700만원 미만,40만원 이상,10만원 이상,5~7만원 미만,5~7만원 미만,5~7만원 미만,10만원 이상,1만원 미만,45.0,11.5,6.0,6.0,6.0,11.5,0.5,4.0,2.0,9,True,41.5,소규모동반
422017,20250428,경상북도,안동시,20250325,1박 2일,3명,친구,휴식,F,60대 이상,기타,자녀 독립(막내 결혼),기타/무직,300만원 미만,10만원 미만,3~5만원 미만,1~3만원 미만,3~5만원 미만,1만원 미만,1만원 미만,1만원 미만,5.0,4.0,2.0,4.0,0.5,0.5,0.5,2.0,3.0,3,False,11.5,소규모동반
422017,20250901,부산시,모름,20250717,3박 4일,3명,부모/형제/자녀 등 가족,휴식,F,60대 이상,기타,자녀 독립(막내 결혼),기타/무직,300만원 미만,10~20만원 미만,1만원 미만,7~10만원 미만,1만원 미만,3~5만원 미만,1만원 미만,1만원 미만,15.0,0.5,8.5,0.5,4.0,0.5,0.5,4.0,3.0,7,True,14.5,소규모동반
422045,20250519,서울시,모름,20250511,1박 2일,3명,친구,친지/친구/친척 만나기,M,20대,미혼,미혼,대학/대학원생,모름,모름,모름,모름,모름,모름,모름,모름,,,,,,,,2.0,3.0,5,True,0.0,소규모동반
422157,20251013,경기도,수원시,20250705,1박 2일,4명,친구,식도락 (지역 특색/제철 음식),F,20대,미혼,미혼,사무/기술직,모름,20~30만원 미만,5~7만원 미만,5~7만원 미만,3~5만원 미만,1만원 미만,5~7만원 미만,1만원 미만,25.0,6.0,6.0,4.0,0.5,6.0,0.5,2.0,4.0,7,True,23.0,단체동반
422279,20250421,전라남도,구례군,20250124,2박 3일,3명,배우자,식도락 (지역 특색/제철 음식),F,60대 이상,기혼,자녀 성인(막내 대학),전업주부,모름,모름,모름,모름,모름,모름,모름,모름,,,,,,,,3.0,3.0,1,False,0.0,소규모동반
422305,20251124,강원도,정선군,20251013,1박 2일,2명,연인,놀이/테마공원-온천 등 즐기기,F,20대,미혼,미혼,사무/기술직,500~700만원 미만,20~30만원 미만,1만원 미만,10만원 이상,1만원 미만,1만원 미만,1만원 미만,1만원 미만,25.0,0.5,11.5,0.5,0.5,0.5,0.5,2.0,2.0,10,False,14.0,소규모동반
422345,20250512,부산시,모름,20250502,3박 4일,2명,부모/형제/자녀 등 가족,식도락 (지역 특색/제철 음식),M,20대,미혼,미혼,사무/기술직,700만원 이상,30~40만원 미만,1만원 미만,10만원 이상,7~10만원 미만,7~10만원 미만,1만원 미만,1만원 미만,35.0,0.5,11.5,8.5,8.5,0.5,0.5,4.0,2.0,5,True,30.0,소규모동반
422345,20250721,부산시,모름,20250606,2박 3일,2명,부모/형제/자녀 등 가족,식도락 (지역 특색/제철 음식),M,20대,미혼,미혼,사무/기술직,700만원 이상,30~40만원 미만,10만원 이상,10만원 이상,3~5만원 미만,3~5만원 미만,1만원 미만,1만원 미만,35.0,11.5,11.5,4.0,4.0,0.5,0.5,3.0,2.0,6,True,32.0,소규모동반
422345,20250922,부산시,모름,20250815,2박 3일,2명,부모/형제/자녀 등 가족,식도락 (지역 특색/제철 음식),M,20대,미혼,미혼,사무/기술직,700만원 이상,30~40만원 미만,10만원 이상,7~10만원 미만,5~7만원 미만,3~5만원 미만,1만원 미만,1만원 미만,35.0,11.5,8.5,6.0,4.0,0.5,0.5,3.0,2.0,8,True,31.0,소규모동반
422345,20251103,부산시,모름,20251007,2박 3일,2명,부모/형제/자녀 등 가족,식도락 (지역 특색/제철 음식),M,20대,미혼,미혼,사무/기술직,700만원 이상,20~30만원 미만,7~10만원 미만,7~10만원 미만,5~7만원 미만,1만원 미만,1만원 미만,1만원 미만,25.0,8.5,8.5,6.0,0.5,0.5,0.5,3.0,2.0,10,False,24.5,소규모동반
422427,20251222,경상북도,경주시,20251103,1박 2일,2명,친구,문화-예술 즐기기 (미술관/ 공연 등),F,20대,미혼,미혼,대학/대학원생,300만원 미만,20~30만원 미만,3~5만원 미만,5~7만원 미만,1~3만원 미만,5~7만원 미만,5~7만원 미만,1만원 미만,25.0,4.0,6.0,2.0,6.0,6.0,0.5,2.0,2.0,11,False,24.5,소규모동반
422536,20250616,대전시,모름,20250503,2박 3일,2명,연인,식도락 (지역 특색/제철 음식),M,20대,미혼,미혼,대학/대학원생,모름,모름,모름,모름,모름,모름,모름,모름,,,,,,,,3.0,2.0,5,True,0.0,소규모동반
422723,20250310,경기도,파주시,20250201,2박 3일,3명,친구,축제-행사 참여,M,20대,미혼,미혼,대학/대학원생,모름,모름,모름,모름,모름,모름,모름,모름,,,,,,,,3.0,3.0,2,False,0.0,소규모동반
422723,20250623,대구시,모름,20250510,6박 7일 이상,혼자서,혼자서,도시 경관 감상 (건축물/ 거리 등),M,20대,미혼,미혼,대학/대학원생,모름,모름,모름,모름,모름,모름,모름,모름,,,,,,,,7.0,1.0,5,True,0.0,혼자여행
422730,20250616,서울시,모름,20250525,1박 2일,4명,친구,친지/친구/친척 만나기,M,20대,미혼,미혼,대학/대학원생,300만원 미만,10~20만원 미만,1~3만원 미만,3~5만원 미만,5~7만원 미만,1만원 미만,1만원 미만,1만원 미만,15.0,2.0,4.0,6.0,0.5,0.5,0.5,2.0,4.0,5,True,13.5,단체동반
422812,20250331,강원도,속초시/양양군,20250328,1박 2일,4명,연인,자연 풍경 감상 (산/ 바다 등),F,20대,미혼,미혼,대학/대학원생,모름,10~20만원 미만,5~7만원 미만,1~3만원 미만,1~3만원 미만,1만원 미만,1만원 미만,1~3만원 미만,15.0,6.0,2.0,2.0,0.5,0.5,2.0,2.0,4.0,3,False,13.0,단체동반
