RESPOND_ID,EXAMIN_BEGIN_DE,TOUR_CTPRVN_NM,TOUR_SIGNGU_NM,TOUR_BEGIN_DE,TOUR_PD_VALUE,TOUR_COM_NMPR_NM,COM_ONE_TY,TOUR_PURPS_NM,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,MRRG_AT_NM,CHLDRN_TY_NM,OCCP_NM,HSHLD_INCOME_DGREE_NM,TOUR_TOT_CT_VALUE,TOUR_LDGMNT_CT_VALUE,TOUR_FOOD_CT_VALUE,TOUR_TRNSPORT_CT_VALUE,TOUR_SHOPNG_CT_VALUE,TOUR_ACTVTY_CT_VALUE,TOUR_ETC_CT_VALUE,TOUR_TOT_CT_VALUE_NUM,TOUR_LDGMNT_CT_VALUE_NUM,TOUR_FOOD_CT_VALUE_NUM,TOUR_TRNSPORT_CT_VALUE_NUM,TOUR_SHOPNG_CT_VALUE_NUM,TOUR_ACTVTY_CT_VALUE_NUM,TOUR_ETC_CT_VALUE_NUM,TOUR_PD_VALUE_NUM,TOUR_COM_NMPR_NM_NUM,TRAVEL_MONTH,IS_PEAK_SEASON,TOTAL_EXP_ESTIMATED,TRAVEL_STYLE_GROUP
422840,20250428,경상북도,경주시,20250428,1박 2일,2명,친구,역사-유적 감상 (유적지/ 박물관 등),F,20대,미혼,미혼,대학/대학원생,500~700만원 미만,10~20만원 미만,3~5만원 미만,5~7만원 미만,1~3만원 미만,1만원 미만,1만원 미만,1만원 미만,15.0,4.0,6.0,2.0,0.5,0.5,0.5,2.0,2.0,4,False,13.5,소규모동반
422840,20251027,경상북도,경주시,20250726,1박 2일,2명,친구,식도락 (지역 특색/제철 음식),F,20대,미혼,미혼,대학/대학원생,모름,10~20만원 미만,1~3만원 미만,5~7만원 미만,1~3만원 미만,1만원 미만,1~3만원 미만,1만원 미만,15.0,2.0,6.0,2.0,0.5,2.0,0.5,2.0,2.0,7,True,13.0,소규모동반
423003,20250714,울산시,모름,20250606,1박 2일,3명,배우자,축제-행사 참여,F,30대,기혼,자녀 유아&성장(막내 입학전~초등생),사무/기술직,모름,모름,모름,모름,모름,모름,모름,모름,,,,,,,,2.0,3.0,6,True,0.0,소규모동반
423112,20251020,강원도,강릉시,20250725,3박 4일,혼자서,혼자서,자연 풍경 감상 (산/ 바다 등),M,30대,미혼,미혼,기능/숙련/일반작업직,300~500만원 미만,40만원 이상,10만원 이상,10만원 이상,3~5만원 미만,5~7만원 미만,1~3만원 미만,1만원 미만,45.0,11.5,11.5,4.0,6.0,2.0,0.5,4.0,1.0,7,True,35.5,혼자여행
423184,20250428,강원도,강릉시,20250315,1박 2일,2명,배우자,자연 풍경 감상 (산/ 바다 등),F,60대 이상,기혼,자녀 독립(막내 결혼),전업주부,700만원 이상,20~30만원 미만,5~7만원 미만,5~7만원 미만,5~7만원 미만,3~5만원 미만,1~3만원 미만,1만원 미만,25.0,6.0,6.0,6.0,4.0,2.0,0.5,2.0,2.0,3,False,24.5,소규모동반
423204,20250623,서울시,모름,20250503,2박 3일,혼자서,혼자서,휴식,M,50대,기혼,자녀 성인(막내 대학),기능/숙련/일반작업직,300~500만원 미만,30~40만원 미만,5~7만원 미만,10만원 이상,5~7만원 미만,5~7만원 미만,5~7만원 미만,1만원 미만,35.0,6.0,11.5,6.0,6.0,6.0,0.5,3.0,1.0,5,True,36.0,혼자여행
423321,20250728,경상북도,안동시/청송군,20250612,1박 2일,2명,부모/형제/자녀 등 가족,취미-운동 활동 (등산/ 낚시/ 골프 등),F,60대 이상,기타,자녀 성인(막내 대학),전업주부,300만원 미만,10~20만원 미만,5~7만원 미만,7~10만원 미만,3~5만원 미만,1만원 미만,1만원 미만,1만원 미만,15.0,6.0,8.5,4.0,0.5,0.5,0.5,2.0,2.0,6,True,20.0,소규모동반
423595,20251013,경상남도,거제시/거창군,20250731,1박 2일,5명 이상,친구,친지/친구/친척 만나기,F,60대 이상,기혼,자녀 성인(막내 대학),기타/무직,700만원 이상,20~30만원 미만,7~10만원 미만,7~10만원 미만,3~5만원 미만,5~7만원 미만,1만원 미만,1만원 미만,25.0,8.5,8.5,4.0,6.0,0.5,0.5,2.0,5.0,7,True,28.0,단체동반
423634,20250922,강원도,양양군,20250823,1박 2일,2명,연인,휴식,M,40대,미혼,미혼,판매/서비스직,300만원 미만,모름,모름,모름,모름,모름,모름,모름,,,,,,,,2.0,2.0,8,True,0.0,소규모동반
423732,20250811,강원도,강릉시/삼척시,20250712,2박 3일,2명,연인,휴식,F,20대,미혼,미혼,기타/무직,모름,모름,모름,모름,모름,모름,모름,모름,,,,,,,,3.0,2.0,7,True,0.0,소규모동반
423754,20250526,강원도,속초시,20250412,2박 3일,2명,배우자,놀이/테마공원-온천 등 즐기기,M,60대 이상,기혼,자녀 성인(막내 대학),사무/기술직,700만원 이상,20~30만원 미만,3~5만원 미만,7~10만원 미만,5~7만원 미만,3~5만원 미만,1~3만원 미만,1만원 미만,25.0,4.0,8.5,6.0,4.0,2.0,0.5,3.0,2.0,4,False,25.0,소규모동반
423757,20250519,경상북도,경주시,20250505,1박 2일,5명 이상,친구,친지/친구/친척 만나기,F,20대,미혼,미혼,사무/기술직,모름,10만원 미만,1만원 미만,5~7만원 미만,1~3만원 미만,1만원 미만,1만원 미만,1만원 미만,5.0,0.5,6.0,2.0,0.5,0.5,0.5,2.0,5.0,5,True,10.0,단체동반
423757,20251110,대구시,모름,20251015,1박 2일,2명,부모/형제/자녀 등 가족,친지/친구/친척 만나기,F,20대,미혼,미혼,사무/기술직,모름,10만원 미만,1만원 미만,3~5만원 미만,1~3만원 미만,1만원 미만,1만원 미만,1만원 미만,5.0,0.5,4.0,2.0,0.5,0.5,0.5,2.0,2.0,10,False,8.0,소규모동반
423767,20251013,경기도,수원시,20250822,1박 2일,2명,친구,식도락 (지역 특색/제철 음식),F,20대,미혼,미혼,대학/대학원생,모름,10~20만원 미만,3~5만원 미만,7~10만원 미만,1~3만원 미만,1만원 미만,1~3만원 미만,1만원 미만,15.0,4.0,8.5,2.0,0.5,2.0,0.5,2.0,2.0,8,True,17.5,소규모동반
423838,20250505,전라남도,순천시,20250213,3박 4일,혼자서,혼자서,친지/친구/친척 만나기,M,20대,미혼,미혼,경영/관리/전문직,700만원 이상,10만원 미만,1만원 미만,3~5만원 미만,1~3만원 미만,1만원 미만,1만원 미만,1만원 미만,5.0,0.5,4.0,2.0,0.5,0.5,0.5,4.0,1.0,2,False,8.0,혼자여행
423838,20250707,부산시,모름,20250412,1박 2일,혼자서,혼자서,휴식,M,20대,미혼,미혼,경영/관리/전문직,700만원 이상,20~30만원 미만,5~7만원 미만,1~3만원 미만,5~7만원 미만,5~7만원 미만,1~3만원 미만,1만원 미만,25.0,6.0,2.0,6.0,6.0,2.0,0.5,2.0,1.0,4,False,22.5,혼자여행
423838,20251103,전라남도,순천시,20251101,1박 2일,혼자서,혼자서,자연 풍경 감상 (산/ 바다 등),M,20대,미혼,미혼,경영/관리/전문직,700만원 이상,10~20만원 미만,1만원 미만,3~5만원 미만,3~5만원 미만,1~3만원 미만,1~3만원 미만,1만원 미만,15.0,0.5,4.0,4.0,2.0,2.0,0.5,2.0,1.0,11,False,13.0,혼자여행
423838,20251229,전라남도,순천시,20251213,1박 2일,2명,친구,휴식,M,20대,미혼,미혼,경영/관리/전문직,700만원 이상,모름,모름,모름,모름,모름,모름,모름,,,,,,,,2.0,2.0,12,False,0.0,소규모동반
423897,20250707,강원도,태백시,20250426,1박 2일,2명,친구,휴식,M,20대,미혼,미혼,대학/대학원생,500~700만원 미만,30~40만원 미만,7~10만원 미만,7~10만원 미만,5~7만원 미만,5~7만원 미만,5~7만원 미만,1만원 미만,35.0,8.5,8.5,6.0,6.0,6.0,0.5,2.0,2.0,4,False,35.5,소규모동반
423897,20251020,전라북도,군산시,20250927,1박 2일,2명,친구,취미-운동 활동 (등산/ 낚시/ 골프 등),M,20대,미혼,미혼,대학/대학원생,500~700만원 미만,10~20만원 미만,3~5만원 미만,3~5만원 미만,3~5만원 미만,3~5만원 미만,1~3만원 미만,1만원 미만,15.0,4.0,4.0,4.0,4.0,2.0,0.5,2.0,2.0,9,True,18.5,소규모동반
423985,20250317,강원도,강릉시,20250206,6박 7일 이상,혼자서,해당없음,문화-예술 즐기기 (미술관/ 공연 등),M,20대,미혼,미혼,대학/대학원생,500~700만원 미만,10~20만원 미만,1만원 미만,1~3만원 미만,5~7만원 미만,1~3만원 미만,1~3만원 미만,1~3만원 미만,15.0,0.5,2.0,6.0,2.0,2.0,2.0,7.0,1.0,2,False,14.5,혼자여행
423985,20250512,경기도,남양주시/양주시,20250401,4박 5일,2명,연인,놀이/테마공원-온천 등 즐기기,M,20대,미혼,미혼,사무/기술직,500~700만원 미만,10~20만원 미만,5~7만원 미만,1~3만원 미만,1~3만원 미만,1~3만원 미만,1~3만원 미만,1만원 미만,15.0,6.0,2.0,2.0,2.0,2.0,0.5,5.0,2.0,4,False,14.5,소규모동반
423985,20251124,서울시,모름,20251003,1박 2일,2명,연인,축제-행사 참여,M,20대,미혼,미혼,대학/대학원생,300~500만원 미만,10~20만원 미만,3~5만원 미만,1~3만원 미만,1~3만원 미만,1~3만원 미만,1~3만원 미만,1만원 미만,15.0,4.0,2.0,2.0,2.0,2.0,0.5,2.0,2.0,10,False,12.5,소규모동반
423995,20250526,전라남도,강진군,20250205,2박 3일,3명,친구,도시 경관 감상 (건축물/ 거리 등),M,20대,미혼,미혼,사무/기술직,300~500만원 미만,모름,모름,모름,모름,모름,모름,모름,,,,,,,,3.0,3.0,2,False,0.0,소규모동반
423995,20250825,제주도,애월읍,20250709,3박 4일,3명,친구,휴식,M,20대,미혼,미혼,사무/기술직,300만원 미만,모름,모름,모름,모름,모름,모름,모름,,,,,,,,4.0,3.0,7,True,0.0,소규모동반
423995,20250929,제주도,애월읍,20250902,4박 5일,4명,친구,휴식,M,20대,미혼,미혼,사무/기술직,300만원 미만,모름,모름,모름,모름,모름,모름,모름,,,,,,,,5.0,4.0,9,True,0.0,단체동반
