row_id,TOUR_CTPRVN_NM,TOUR_SIGNGU_NM,weight
317,강원도,평창군,1.0
318,충청북도,충주시(구 청원군 포함),1.0
319,전라남도,해남군,1.0
320,강원도,속초시,1.0
321,경상남도,거제시,1.0
322,전라남도,순천시,1.0
324,경상북도,구미시,0.5
324,경상북도,포항시,0.5
326,충청남도,보령시,1.0
327,경상북도,경주시,0.5
327,경상북도,포항시,0.5
329,제주도,서귀포시(시내동),1.0
330,경상남도,의령군,1.0
331,경기도,포천시,1.0
333,전라남도,순천시,1.0
336,전라북도,전주시,1.0
337,경상남도,남해군,1.0
339,경기도,양평군,1.0
343,경기도,파주시,1.0
344,경기도,오산시,1.0
346,강원도,양양군,1.0
347,경상북도,김천시,1.0
351,강원도,강릉시,1.0
352,경상북도,울릉군,0.5
352,경상북도,포항시,0.5
353,경기도,양평군,0.5
353,경기도,연천군,0.5
354,충청북도,제천시,1.0
355,강원도,속초시,1.0
356,강원도,강릉시,1.0
357,강원도,고성군,1.0
359,강원도,속초시,1.0
360,강원도,속초시,1.0
362,전라남도,완도군,1.0
363,강원도,춘천시,1.0
364,충청남도,부여군,0.5
364,충청남도,태안군,0.5
365,경기도,양평군,1.0
366,강원도,횡성군,1.0
367,경기도,가평군,1.0
368,강원도,철원군,1.0
369,전라남도,광양시,1.0
370,경상남도,거제시,1.0
371,강원도,동해시,0.2
371,강원도,삼척시,0.2
371,강원도,속초시,0.2
371,강원도,원주시,0.2
371,강원도,인제군,0.2
373,경상북도,경주시,0.5
373,경상북도,안동시,0.5
375,강원도,강릉시,1.0
376,전라북도,무주군,1.0
377,전라남도,여수시,1.0
381,강원도,속초시,1.0
383,충청북도,제천시,1.0
384,전라북도,전주시,1.0
385,경기도,양평군,1.0
386,강원도,춘천시,1.0
387,강원도,영월군,1.0
388,전라남도,진도군,1.0
389,전라북도,군산시,1.0
390,경상남도,거제시,1.0
391,충청남도,공주시,0.5
391,충청남도,세종특별자치시,0.5
392,충청남도,부여군,1.0
393,경상북도,상주시,1.0
396,경상북도,성주군,1.0
397,충청남도,보령시,0.5
397,충청남도,태안군,0.5
398,강원도,춘천시,1.0
399,전라남도,순천시,1.0
400,제주도,애월읍,0.5
400,제주도,한림읍,0.5
401,경상남도,함양군,1.0
402,경상남도,거제시,1.0
403,제주도,서귀포시(시내동),0.25
403,제주도,애월읍,0.25
403,제주도,한경면,0.25
403,제주도,한림읍,0.25
404,전라남도,구례군,1.0
405,충청남도,금산군,1.0
406,강원도,고성군,0.5
406,강원도,속초시,0.5
407,경상북도,구미시,1.0
408,경기도,양평군,1.0
409,경상남도,창원시,1.0
410,경상북도,경주시,1.0
411,경상북도,울진군,1.0
412,충청남도,태안군,1.0
414,강원도,태백시,1.0
415,전라북도,익산시,1.0
416,경기도,수원시,0.5
416,경기도,용인시,0.5
417,강원도,고성군,1.0
418,전라남도,담양군,1.0
422,경상북도,청송군,1.0
424,강원도,태백시,1.0
425,제주도,서귀포시(시내동),1.0
426,경상남도,밀양시,1.0
427,전라남도,여수시,1.0
428,강원도,평창군,1.0
429,강원도,강릉시,1.0
430,경상북도,경주시,1.0
431,경기도,여주시,1.0
434,강원도,평창군,1.0
436,제주도,서귀포시(시내동),0.5
436,제주도,제주시(시내동),0.5
437,충청남도,태안군,1.0
439,충청남도,보령시,0.3333333333333333
439,충청남도,예산군,0.3333333333333333
439,충청남도,천안시,0.3333333333333333
441,경기도,용인시,1.0
442,전라북도,김제시,0.3333333333333333
442,전라북도,완주군,0.3333333333333333
442,전라북도,익산시,0.3333333333333333
444,충청남도,공주시,0.5
444,충청남도,세종특별자치시,0.5
445,경상북도,울진군,1.0
446,충청남도,태안군,1.0
447,강원도,속초시,1.0
449,제주도,조천읍,1.0
451,강원도,춘천시,1.0
452,강원도,원주시,1.0
453,충청남도,당진시,1.0
455,경기도,남양주시,1.0
456,충청북도,단양군,1.0
458,강원도,고성군,0.3333333333333333
458,강원도,정선군,0.3333333333333333
458,강원도,평창군,0.3333333333333333
459,전라남도,나주시,1.0
460,전라남도,담양군,1.0
461,경기도,안양시,1.0
462,경상남도,통영시,1.0
463,전라북도,전주시,1.0
464,강원도,속초시,0.5
464,강원도,양양군,0.5
465,충청북도,영동군,0.5
465,충청북도,옥천군,0.5
466,충청북도,단양군,1.0
467,강원도,인제군,1.0
468,전라남도,목포시,1.0
469,충청북도,괴산군,0.5
469,충청북도,충주시(구 청원군 포함),0.5
470,강원도,삼척시,1.0
471,경상북도,경주시,0.3333333333333333
471,경상북도,구미시,0.3333333333333333
471,경상북도,예천군,0.3333333333333333
472,제주도,제주시(시내동),1.0
473,경기도,안산시,1.0
474,전라남도,여수시,1.0
475,경기도,평택시,1.0
477,충청남도,공주시,1.0
478,강원도,홍천군,1.0
479,경기도,남양주시,1.0
480,충청남도,보령시,1.0
481,경상북도,경주시,1.0
483,경기도,연천군,1.0
484,경상남도,밀양시,1.0
487,강원도,강릉시,0.3333333333333333
487,강원도,속초시,0.3333333333333333
487,강원도,원주시,0.3333333333333333
488,강원도,속초시,1.0
489,충청남도,공주시,0.5
489,충청남도,부여군,0.5
490,전라남도,무안군,1.0
491,경기도,수원시,1.0
492,경상남도,진주시,1.0
493,강원도,강릉시,0.5
493,강원도,속초시,0.5
494,전라남도,고흥군,0.5
494,전라남도,여수시,0.5
496,강원도,횡성군,1.0
